Figure,Workload (Threads),a,b,C,MAE,S_min_teorico,S_min_reale,Equation
Figure 4,1000,2.6436366246107568e-06,0.01155106949569609,0.0081857054366664,0.0005554757305091285,66.10133313122799,50,T_tot = a*S + b/S + C
Figure 4,1000000,2.6397956702783887e-06,1.8870705548406809e-06,0.0984155735295121,0.0010315305751000658,0.8454908519026908,16,T_tot = a*S + b/S + C
Figure 4,10000000,2.588403921754967e-06,0.005214216732408254,2.049924200500676,0.0006008002038313265,44.88265247001605,80,T_tot = a*S + b/S + C
