Figure,Workload (Threads),a,b,MAE,Equation
Figure 2,1000,2.6436366246107568e-06,-0.00026992345292109476,0.00042327108565017653,T_C = a*S + b
Figure 2,1000000,2.6397956702783887e-06,-0.00027580371902824474,0.00044934862176141413,T_C = a*S + b
Figure 2,10000000,2.588403921754967e-06,-0.0002559938940858153,0.0004281688727902881,T_C = a*S + b
Figure 3,1000,0.01155106949569609,0.008455628889587495,0.00039176540595023423,T_E = a/S + b
Figure 3,1000000,1.8870705548406809e-06,0.09869137724854034,0.0010153656274485856,T_E = a/S + b
Figure 3,10000000,0.005214216732408254,2.0501801943947617,0.00030801923400105126,T_E = a/S + b
