mode,threads,mini_batch_size,outer_iterations,inner_iterations,repetitions,graph_creation_mean,graph_creation_std,exec_time_mean,exec_time_std,gpu_memory_mib
1,1000,100,1,1,10,0.000215,0.000176,0.000106,0.000000,181
1,1000,100,2,1,10,0.000209,0.000162,0.000205,0.000000,181
1,1000,100,3,1,10,0.000210,0.000163,0.000306,0.000000,181
1,1000,100,4,1,10,0.000213,0.000171,0.000406,0.000000,181
1,1000,100,5,1,10,0.000212,0.000166,0.000507,0.000000,181
1,1000,100,6,1,10,0.000212,0.000162,0.000608,0.000000,181
1,1000,100,7,1,10,0.000214,0.000173,0.000708,0.000001,181
1,1000,100,8,1,10,0.000209,0.000162,0.000808,0.000001,181
1,1000,100,9,1,10,0.000211,0.000166,0.000909,0.000001,181
1,1000,100,10,1,10,0.000211,0.000169,0.000929,0.000000,181
1,1000,100,11,1,10,0.000210,0.000165,0.001022,0.000001,181
1,1000,100,12,1,10,0.000210,0.000164,0.001114,0.000001,181
1,1000,100,13,1,10,0.000211,0.000169,0.001311,0.000001,181
1,1000,100,14,1,10,0.000213,0.000169,0.001412,0.000001,181
1,1000,100,15,1,10,0.000214,0.000170,0.001512,0.000001,181
1,1000,100,16,1,10,0.000212,0.000164,0.001612,0.000001,181
1,1000,100,17,1,10,0.000211,0.000167,0.001641,0.000001,181
1,1000,100,18,1,10,0.000210,0.000167,0.001654,0.000001,181
1,1000,100,19,1,10,0.000211,0.000167,0.001746,0.000001,181
1,1000,100,20,1,10,0.000209,0.000162,0.001837,0.000001,181
1,1000,100,21,1,10,0.000211,0.000168,0.001929,0.000001,181
1,1000,100,22,1,10,0.000213,0.000166,0.002214,0.000001,181
1,1000,100,23,1,10,0.000215,0.000167,0.002316,0.000001,181
1,1000,100,24,1,10,0.000213,0.000172,0.002416,0.000001,181
1,1000,100,25,1,10,0.000209,0.000160,0.002517,0.000001,181
1,1000,100,26,1,10,0.000212,0.000165,0.002617,0.000001,181
1,1000,100,27,1,10,0.000210,0.000164,0.002718,0.000001,181
1,1000,100,28,1,10,0.000210,0.000168,0.002819,0.000002,181
1,1000,100,29,1,10,0.000212,0.000165,0.002919,0.000002,181
1,1000,100,30,1,10,0.000211,0.000169,0.003020,0.000002,181
1,1000,100,31,1,10,0.000210,0.000166,0.003072,0.000002,181
1,1000,100,32,1,10,0.000210,0.000169,0.002937,0.000002,181
1,1000,100,33,1,10,0.000210,0.000169,0.003028,0.000002,181
1,1000,100,34,1,10,0.000210,0.000164,0.003120,0.000001,181
1,1000,100,35,1,10,0.000210,0.000163,0.003522,0.000002,181
1,1000,100,36,1,10,0.000211,0.000165,0.003303,0.000001,181
1,1000,100,37,1,10,0.000212,0.000174,0.003395,0.000002,181
1,1000,100,38,1,10,0.000212,0.000170,0.003486,0.000001,181
1,1000,100,39,1,10,0.000214,0.000174,0.003924,0.000002,181
1,1000,100,40,1,10,0.000212,0.000167,0.004025,0.000002,181
1,1000000,100,1,1,10,0.000222,0.000200,0.001039,0.000031,183
1,1000000,100,2,1,10,0.000223,0.000198,0.002074,0.000021,183
1,1000000,100,3,1,10,0.000222,0.000201,0.003127,0.000036,183
1,1000000,100,4,1,10,0.000220,0.000194,0.004288,0.000044,183
1,1000000,100,5,1,10,0.000218,0.000189,0.005364,0.000042,183
1,1000000,100,6,1,10,0.000208,0.000187,0.006442,0.000032,183
1,1000000,100,7,1,10,0.000208,0.000186,0.007519,0.000046,183
1,1000000,100,8,1,10,0.000209,0.000188,0.008596,0.000051,183
1,1000000,100,9,1,10,0.000222,0.000198,0.009094,0.000048,183
1,1000000,100,10,1,10,0.000217,0.000191,0.010103,0.000048,183
1,1000000,100,11,1,10,0.000219,0.000191,0.011111,0.000057,183
1,1000000,100,12,1,10,0.000221,0.000200,0.012126,0.000050,183
1,1000000,100,13,1,10,0.000220,0.000197,0.013133,0.000032,183
1,1000000,100,14,1,10,0.000221,0.000197,0.014145,0.000050,183
1,1000000,100,15,1,10,0.000219,0.000192,0.015164,0.000066,183
1,1000000,100,16,1,10,0.000221,0.000198,0.016163,0.000073,183
1,1000000,100,17,1,10,0.000219,0.000194,0.017182,0.000078,183
1,1000000,100,18,1,10,0.000220,0.000195,0.018187,0.000069,183
1,1000000,100,19,1,10,0.000221,0.000197,0.019204,0.000065,183
1,1000000,100,20,1,10,0.000222,0.000199,0.020211,0.000077,183
1,1000000,100,21,1,10,0.000219,0.000196,0.021232,0.000079,183
1,1000000,100,22,1,10,0.000220,0.000195,0.022249,0.000063,183
1,1000000,100,23,1,10,0.000219,0.000196,0.023256,0.000080,183
1,1000000,100,24,1,10,0.000220,0.000196,0.024266,0.000081,183
1,1000000,100,25,1,10,0.000210,0.000197,0.025283,0.000091,183
1,1000000,100,26,1,10,0.000221,0.000194,0.026284,0.000097,183
1,1000000,100,27,1,10,0.000220,0.000198,0.027304,0.000084,183
1,1000000,100,28,1,10,0.000221,0.000201,0.028311,0.000086,183
1,1000000,100,29,1,10,0.000221,0.000197,0.029318,0.000107,183
1,1000000,100,30,1,10,0.000215,0.000197,0.030328,0.000102,183
1,1000000,100,31,1,10,0.000206,0.000188,0.031343,0.000106,183
