Figure,Workload (Threads),a,b,C,MAE,S_min_teorico,S_min_reale,Equation
Figure 4,1000,2.6358427533956785e-06,0.0016595567708764156,0.008325066328187183,0.0008812438896961549,25.092059447585186,8,T_tot = a*S + b/S + C
Figure 4,1000000,2.6312556944052596e-06,3.943957132395841e-07,0.5417975485290099,0.0016056981557318961,0.387154727193729,8,T_tot = a*S + b/S + C
Figure 4,10000000,2.6668058951129225e-06,2.4595585481522263e-06,5.340813280305278,0.0015958003084117678,0.9603573826309422,8,T_tot = a*S + b/S + C
