mode,threads,mini_batch_size,outer_iterations,inner_iterations,repetitions,graph_creation_mean,graph_creation_std,exec_time_mean,exec_time_std,gpu_memory_mib
1,1000000,100,37,1,10,0.000165,0.000130,0.201156,0.000009,81
1,1000000,100,38,1,10,0.000165,0.000128,0.206591,0.000027,81
1,1000000,100,39,1,10,0.000163,0.000127,0.212029,0.000030,81
1,1000000,100,40,1,10,0.000170,0.000133,0.217460,0.000032,81
1,10000000,100,1,1,10,0.000259,0.000412,0.053426,0.000028,117
1,10000000,100,2,1,10,0.000168,0.000125,0.106845,0.000029,117
1,10000000,100,3,1,10,0.000166,0.000126,0.160267,0.000010,117
1,10000000,100,4,1,10,0.000257,0.000399,0.213701,0.000027,117
1,10000000,100,5,1,10,0.000164,0.000125,0.267154,0.000026,117
1,10000000,100,6,1,10,0.000165,0.000127,0.320567,0.000019,117
1,10000000,100,7,1,10,0.000256,0.000397,0.374027,0.000035,117
1,10000000,100,8,1,10,0.000166,0.000128,0.427447,0.000047,117
1,10000000,100,9,1,10,0.000167,0.000122,0.480853,0.000032,117
1,10000000,100,10,1,10,0.000258,0.000394,0.534293,0.000038,117
1,10000000,100,11,1,10,0.000167,0.000121,0.587729,0.000044,117
1,10000000,100,12,1,10,0.000256,0.000399,0.641154,0.000038,117
1,10000000,100,13,1,10,0.000166,0.000123,0.694573,0.000032,117
1,10000000,100,14,1,10,0.000166,0.000121,0.747960,0.000044,117
1,10000000,100,15,1,10,0.000166,0.000124,0.801406,0.000040,117
1,10000000,100,16,1,10,0.000254,0.000386,0.854874,0.000038,117
1,10000000,100,17,1,10,0.000169,0.000127,0.908303,0.000045,117
1,10000000,100,18,1,10,0.000256,0.000390,0.961732,0.000041,117
1,10000000,100,19,1,10,0.000166,0.000125,1.015091,0.000056,117
1,10000000,100,20,1,10,0.000165,0.000120,1.068589,0.000029,117
1,10000000,100,21,1,10,0.000166,0.000123,1.122009,0.000051,117
1,10000000,100,22,1,10,0.000170,0.000137,1.175460,0.000029,117
1,10000000,100,23,1,10,0.000165,0.000123,1.228799,0.000032,117
1,10000000,100,24,1,10,0.000167,0.000127,1.282282,0.000040,117
1,10000000,100,25,1,10,0.000168,0.000122,1.335669,0.000053,117
1,10000000,100,26,1,10,0.000173,0.000127,1.389081,0.000049,117
1,10000000,100,27,1,10,0.000171,0.000127,1.442495,0.000032,117
1,10000000,100,28,1,10,0.000168,0.000126,1.495938,0.000067,117
1,10000000,100,29,1,10,0.000167,0.000128,1.549358,0.000033,117
1,10000000,100,30,1,10,0.000167,0.000124,1.602893,0.000016,117
1,10000000,100,31,1,10,0.000170,0.000123,1.656204,0.000043,117
1,10000000,100,32,1,10,0.000170,0.000127,1.709654,0.000066,117
1,10000000,100,33,1,10,0.000169,0.000131,1.763155,0.000041,117
1,10000000,100,34,1,10,0.000171,0.000135,1.816470,0.000054,117
1,10000000,100,35,1,10,0.000169,0.000124,1.869991,0.000035,117
1,10000000,100,36,1,10,0.000170,0.000125,1.923438,0.000042,117
1,10000000,100,37,1,10,0.000168,0.000121,1.976872,0.000056,117
1,10000000,100,38,1,10,0.000169,0.000133,2.030207,0.000026,117
1,10000000,100,39,1,10,0.000171,0.000138,2.083620,0.000039,117
1,10000000,100,40,1,10,0.000169,0.000127,2.137150,0.000039,117
