mode,threads,mini_batch_size,outer_iterations,inner_iterations,repetitions,graph_creation_mean,graph_creation_std,exec_time_mean,exec_time_std,gpu_memory_mib
1,1000,1,10000,1,10,0.000033,0.000068,0.011706,0.000250,79
1,1000,2,5000,1,10,0.000035,0.000069,0.008952,0.000062,79
1,1000,4,2500,1,10,0.000035,0.000062,0.007659,0.000035,79
1,1000,5,2000,1,10,0.000035,0.000062,0.007367,0.000021,79
1,1000,8,1250,1,10,0.000042,0.000073,0.007196,0.000034,79
1,1000,10,1000,1,10,0.000042,0.000064,0.007329,0.000048,79
1,1000,16,625,1,10,0.000048,0.000063,0.007392,0.000013,79
1,1000,20,500,1,10,0.000127,0.000249,0.007362,0.000020,79
1,1000,25,400,1,10,0.000062,0.000075,0.007305,0.000010,79
1,1000,40,250,1,10,0.000076,0.000069,0.007269,0.000010,79
1,1000,50,200,1,10,0.000210,0.000373,0.007339,0.000004,79
1,1000,80,125,1,10,0.000131,0.000106,0.008811,0.000007,79
1,1000,100,100,1,10,0.000164,0.000123,0.008811,0.000005,79
1,1000,125,80,1,10,0.000192,0.000134,0.008819,0.000009,79
1,1000,200,50,1,10,0.000298,0.000186,0.008806,0.000013,79
1,1000,250,40,1,10,0.000373,0.000211,0.008814,0.000011,79
1,1000,400,25,1,10,0.000587,0.000349,0.008819,0.000019,83
1,1000,500,20,1,10,0.001247,0.001682,0.008816,0.000020,83
1,1000,625,16,1,10,0.000904,0.000503,0.008824,0.000026,85
1,1000,1000,10,1,10,0.001490,0.000799,0.008825,0.000040,87
1,1000,1250,8,1,10,0.002751,0.003210,0.008884,0.000049,89
1,1000,2000,5,1,10,0.004603,0.004511,0.010087,0.000037,93
1,1000,2500,4,1,10,0.004730,0.001850,0.010993,0.000038,97
1,1000,5000,2,1,10,0.011901,0.003355,0.011218,0.000025,113
1,1000,10000,1,1,10,0.027236,0.006703,0.011206,0.000024,149
1,1000000,1,10000,1,10,0.000087,0.000218,0.541403,0.000044,81
1,1000000,2,5000,1,10,0.000037,0.000067,0.540221,0.000044,81
1,1000000,4,2500,1,10,0.000041,0.000071,0.539718,0.000026,81
1,1000000,5,2000,1,10,0.000043,0.000069,0.539552,0.000022,81
1,1000000,8,1250,1,10,0.000045,0.000070,0.539407,0.000034,81
1,1000000,10,1000,1,10,0.000048,0.000071,0.539496,0.000033,81
1,1000000,16,625,1,10,0.000052,0.000070,0.540091,0.000028,81
1,1000000,20,500,1,10,0.000059,0.000072,0.539959,0.000045,81
1,1000000,25,400,1,10,0.000063,0.000072,0.539853,0.000038,81
1,1000000,40,250,1,10,0.000082,0.000073,0.539835,0.000030,81
1,1000000,50,200,1,10,0.000104,0.000100,0.539983,0.000018,81
1,1000000,80,125,1,10,0.000134,0.000103,0.543643,0.000018,81
1,1000000,100,100,1,10,0.000167,0.000132,0.543656,0.000017,81
1,1000000,125,80,1,10,0.000195,0.000138,0.543648,0.000030,81
1,1000000,200,50,1,10,0.000302,0.000185,0.543698,0.000069,81
1,1000000,250,40,1,10,0.000370,0.000218,0.543785,0.000034,81
1,1000000,400,25,1,10,0.000942,0.001407,0.543818,0.000040,85
1,1000000,500,20,1,10,0.000734,0.000423,0.543744,0.000026,85
1,1000000,625,16,1,10,0.001406,0.001966,0.543806,0.000036,87
1,1000000,1000,10,1,10,0.001536,0.000774,0.543775,0.000023,89
1,1000000,1250,8,1,10,0.002723,0.003235,0.543787,0.000023,91
1,1000000,2000,5,1,10,0.003503,0.001432,0.543801,0.000033,95
1,1000000,2500,4,1,10,0.004664,0.001750,0.543800,0.000034,99
1,1000000,5000,2,1,10,0.012014,0.003503,0.543799,0.000039,115
1,1000000,10000,1,1,10,0.027272,0.006781,0.543744,0.000018,151
1,10000000,1,10000,1,10,0.000037,0.000061,5.340537,0.000041,117
1,10000000,2,5000,1,10,0.000038,0.000063,5.338978,0.000066,117
1,10000000,4,2500,1,10,0.000040,0.000064,5.338695,0.000138,117
1,10000000,5,2000,1,10,0.000044,0.000063,5.338690,0.000035,117
1,10000000,8,1250,1,10,0.000051,0.000062,5.338171,0.000059,117
1,10000000,10,1000,1,10,0.000047,0.000061,5.338593,0.000053,117
1,10000000,16,625,1,10,0.000056,0.000061,5.339185,0.000063,117
1,10000000,20,500,1,10,0.000059,0.000063,5.339044,0.000077,117
1,10000000,25,400,1,10,0.000070,0.000064,5.338913,0.000061,117
1,10000000,40,250,1,10,0.000082,0.000063,5.338994,0.000071,117
1,10000000,50,200,1,10,0.000104,0.000092,5.339066,0.000065,117
1,10000000,80,125,1,10,0.000137,0.000097,5.342813,0.000048,117
1,10000000,100,100,1,10,0.000167,0.000122,5.342472,0.000045,117
1,10000000,125,80,1,10,0.000202,0.000132,5.342451,0.000064,117
1,10000000,200,50,1,10,0.000310,0.000179,5.342882,0.000107,117
1,10000000,250,40,1,10,0.000384,0.000211,5.343001,0.000046,117
1,10000000,400,25,1,10,0.000605,0.000355,5.343017,0.000065,121
1,10000000,500,20,1,10,0.000751,0.000415,5.343028,0.000059,121
1,10000000,625,16,1,10,0.000947,0.000491,5.343021,0.000073,123
1,10000000,1000,10,1,10,0.001581,0.000756,5.342990,0.000067,125
1,10000000,1250,8,1,10,0.002010,0.000951,5.343023,0.000053,127
1,10000000,2000,5,1,10,0.003448,0.001459,5.342692,0.000070,131
1,10000000,2500,4,1,10,0.005389,0.004228,5.343002,0.000048,135
1,10000000,5000,2,1,10,0.011675,0.003577,5.343001,0.000059,151
1,10000000,10000,1,1,10,0.027744,0.010326,5.342667,0.000067,187
