Figure,Workload (Threads),a,b,MAE,Equation
Figure 2,1000,2.6358427533956785e-06,-0.0002585755558943692,0.000393939793061759,T_C = a*S + b
Figure 2,1000000,2.6312556944052596e-06,-0.0002832932761289892,0.0004290914712121853,T_C = a*S + b
Figure 2,10000000,2.6668058951129225e-06,-0.0003435215010929582,0.00049981409994023,T_C = a*S + b
Figure 3,1000,0.0016595567708764156,0.008583641884081552,0.0010355328407071643,T_E = a/S + b
Figure 3,1000000,3.943957132395841e-07,0.5420808418051388,0.001869775644831262,T_E = a/S + b
Figure 3,10000000,2.4595585481522263e-06,5.341156801806371,0.0019091724139599009,T_E = a/S + b
