Figure,Workload (Threads),a,b,MAE,Equation
Figure 2,1000,4.270557383279083e-06,0.00014710140760210155,0.000985276223434632,T_C = a*S + b
Figure 2,1000000,4.718466686592926e-06,-0.00019535187791830388,0.0004837798996268197,T_C = a*S + b
Figure 2,10000000,5.136064462951673e-06,-0.000357250268730569,0.0006004202878967635,T_C = a*S + b
Figure 3,1000,0.010033694041674325,0.011986056933667277,0.0016863749119322552,T_E = a/S + b
Figure 3,1000000,1.7145470692263296e-08,0.166587278339564,0.0036055620641676856,T_E = a/S + b
Figure 3,10000000,0.008726469546178457,3.20236401378327,0.00368563327646374,T_E = a/S + b
