mode,threads,mini_batch_size,outer_iterations,inner_iterations,repetitions,graph_creation_mean,graph_creation_std,exec_time_mean,exec_time_std,gpu_memory_mib
1,1000000,100,37,1,10,0.000397,0.000198,0.069505,0.002473,109
1,1000000,100,38,1,10,0.000367,0.000193,0.071775,0.002180,109
1,1000000,100,39,1,10,0.000394,0.000192,0.073176,0.001892,109
1,1000000,100,40,1,10,0.000392,0.000178,0.074288,0.002564,109
1,10000000,100,1,1,10,0.000472,0.000180,0.032239,0.000252,145
1,10000000,100,2,1,10,0.000560,0.000201,0.064219,0.000200,145
1,10000000,100,3,1,10,0.000379,0.000190,0.096260,0.000216,145
1,10000000,100,4,1,10,0.000405,0.000168,0.128358,0.000174,145
1,10000000,100,5,1,10,0.000397,0.000199,0.160422,0.000159,145
1,10000000,100,6,1,10,0.000390,0.000193,0.192459,0.000149,145
1,10000000,100,7,1,10,0.000413,0.000188,0.224545,0.000168,145
1,10000000,100,8,1,10,0.000524,0.000243,0.256629,0.000186,145
1,10000000,100,9,1,10,0.000445,0.000221,0.288597,0.000221,145
1,10000000,100,10,1,10,0.000595,0.000613,0.320343,0.000247,145
1,10000000,100,11,1,10,0.000414,0.000211,0.352365,0.000287,145
1,10000000,100,12,1,10,0.000412,0.000184,0.384174,0.000229,145
1,10000000,100,13,1,10,0.000421,0.000255,0.416170,0.000242,145
1,10000000,100,14,1,10,0.000464,0.000176,0.448204,0.000286,145
1,10000000,100,15,1,10,0.000416,0.000199,0.480363,0.000324,145
1,10000000,100,16,1,10,0.000426,0.000187,0.512461,0.000236,145
1,10000000,100,17,1,10,0.000411,0.000187,0.544513,0.000269,145
1,10000000,100,18,1,10,0.000389,0.000195,0.576503,0.000237,145
1,10000000,100,19,1,10,0.000394,0.000192,0.608579,0.000215,145
1,10000000,100,20,1,10,0.000418,0.000218,0.640236,0.000347,145
1,10000000,100,21,1,10,0.000427,0.000202,0.672136,0.000258,145
1,10000000,100,22,1,10,0.000461,0.000178,0.704356,0.000420,145
1,10000000,100,23,1,10,0.000462,0.000187,0.736724,0.000207,145
1,10000000,100,24,1,10,0.000398,0.000181,0.768568,0.000251,145
1,10000000,100,25,1,10,0.000429,0.000198,0.800564,0.000234,145
1,10000000,100,26,1,10,0.000411,0.000187,0.832565,0.000244,145
1,10000000,100,27,1,10,0.000392,0.000189,0.864786,0.000239,145
1,10000000,100,28,1,10,0.000450,0.000187,0.896409,0.000525,145
1,10000000,100,29,1,10,0.000430,0.000198,0.928161,0.000488,145
1,10000000,100,30,1,10,0.000407,0.000183,0.960235,0.000554,145
1,10000000,100,31,1,10,0.000446,0.000193,0.992286,0.000476,145
1,10000000,100,32,1,10,0.000394,0.000176,1.024924,0.000241,145
1,10000000,100,33,1,10,0.000428,0.000264,1.056715,0.000267,145
1,10000000,100,34,1,10,0.000455,0.000260,1.088763,0.000243,145
1,10000000,100,35,1,10,0.000415,0.000185,1.120711,0.000484,145
1,10000000,100,36,1,10,0.000412,0.000190,1.152885,0.000265,145
1,10000000,100,37,1,10,0.000424,0.000184,1.184142,0.000548,145
1,10000000,100,38,1,10,0.000425,0.000193,1.216519,0.000764,145
1,10000000,100,39,1,10,0.000417,0.000185,1.248950,0.000255,145
1,10000000,100,40,1,10,0.000442,0.000201,1.280924,0.000269,145
