Figure,Workload (Threads),a,b,C,MAE,S_min_teorico,S_min_reale,Equation
Figure 4,1000,4.270557383279083e-06,0.010033694041674325,0.012133158341269379,0.0019343031019275231,48.47168822152018,8,T_tot = a*S + b/S + C
Figure 4,1000000,4.718466686592926e-06,1.7145470692263296e-08,0.1663919264616457,0.0034271234537239215,0.06028014100518711,5,T_tot = a*S + b/S + C
Figure 4,10000000,5.136064462951673e-06,0.008726469546178457,3.2020067635145395,0.003291325632073967,41.219626833281175,10,T_tot = a*S + b/S + C
